circuit_id,n_qubits,depth,ansatz,seed,mean_gradient_magnitude,gradient_variance,near_zero_percentage,n_trainable_parameters,n_gates,final_loss,successful,trainability_score,predicted_category,predicted_successful
C0172,0.3333333333333333,0.3333333333333333,linear,43,0.157739759319721,0.0478926694313055,0.2536415071626339,0.1594202898550724,0.1518072289156626,0.0499296403230595,True,0.4543141648118945,Possibly Difficult,False
C0175,0.3333333333333333,0.3333333333333333,linear,46,0.1611729797870923,0.055325215397699,0.2573281569760443,0.1594202898550724,0.1518072289156626,0.0497521065078344,True,0.4551915440129014,Possibly Difficult,False
C0189,0.3333333333333333,0.5555555555555556,ring,45,0.2007752472507831,0.0449646368594091,0.0422735845271056,0.2463768115942029,0.2481927710843373,0.0499695448541905,True,0.4583799810479235,Possibly Difficult,False
C0191,0.3333333333333333,0.7777777777777778,linear,42,0.1578538789171859,0.0332259203811519,0.1209221138798603,0.3333333333333333,0.3156626506024096,0.0496415722865402,True,0.4401308193413611,Possibly Difficult,False
C0192,0.3333333333333333,0.7777777777777778,linear,43,0.1720379689596599,0.0374629174327105,0.1153921391597447,0.3333333333333333,0.3156626506024096,0.0497020242596239,True,0.4423253388904591,Possibly Difficult,False
C0201,0.3333333333333333,1.0,linear,42,0.1650114252822777,0.0344960558104677,0.0870049355964849,0.4202898550724637,0.3975903614457831,0.0496105884643301,True,0.4330167290836189,Possibly Difficult,False
C0202,0.3333333333333333,1.0,linear,43,0.1701775870638389,0.0372034874267754,0.1002768749247622,0.4202898550724637,0.3975903614457831,0.0498524113445094,True,0.4331770082105708,Possibly Difficult,False
C0206,0.3333333333333333,1.0,ring,42,0.199613289568388,0.0462888198862326,0.0191705790297339,0.4202898550724637,0.4216867469879518,0.0498317806574986,True,0.4395308896652868,Possibly Difficult,False
C0208,0.3333333333333333,1.0,ring,44,0.2013472640767013,0.0456948977685233,0.0176959191043698,0.4202898550724637,0.4216867469879518,0.0496215320825295,True,0.4397354973126194,Possibly Difficult,False
C0213,0.5,0.0,linear,44,0.0363554499248469,0.039365935261513,0.7614775189599133,0.0434782608695652,0.0433734939759036,0.4007251820805092,True,0.4099572912781899,Possibly Difficult,False
C0214,0.5,0.0,linear,45,0.0225933198897522,0.0146305302286471,0.8776069880823402,0.0434782608695652,0.0433734939759036,0.1719948172073106,True,0.4005143128125449,Possibly Difficult,False
C0231,0.5,0.2222222222222222,linear,42,0.1307838067808434,0.0431901262073073,0.3439644275911881,0.1594202898550724,0.1542168674698795,0.0497381105126252,True,0.4273643722296232,Possibly Difficult,False
C0264,0.5,0.7777777777777778,linear,45,0.0852343602144794,0.0099581548407575,0.1632033789274106,0.4492753623188406,0.4313253012048192,0.0497552420813248,True,0.3943423260644149,Possibly Difficult,False
C0274,0.5,1.0,linear,45,0.0806950635426663,0.0090226922393047,0.1435028439869989,0.5652173913043478,0.5421686746987951,0.0498346209826581,True,0.3811843634785674,Possibly Difficult,False
C0289,0.6666666666666666,0.0,ring,45,0.0041577445768897,0.0032291301326176,0.9449620801733478,0.0579710144927536,0.0602409638554216,0.1542766828199392,True,0.3738766789474687,Possibly Difficult,False
C0426,1.0,0.0,ring,42,0.0003341100379578,0.0008977824159612,0.986457204767064,0.0869565217391304,0.0891566265060241,0.355430901939873,True,0.3309418057798429,Likely Difficult to Train,False
C0448,1.0,0.2222222222222222,ring,44,0.0001477450580431,-7.027761134485055e-05,0.7137955940772842,0.2898550724637681,0.2915662650602409,0.410476134837325,True,0.3186348134552251,Likely Difficult to Train,False
C0449,1.0,0.2222222222222222,ring,45,0.0051810768941461,1.6019418149089414e-05,0.3860599494402311,0.2898550724637681,0.2915662650602409,0.1652665615494963,True,0.3351922718349919,Likely Difficult to Train,False
C0450,1.0,0.2222222222222222,ring,46,0.0023905599640336,-5.395818015481899e-05,0.4781509570241964,0.2898550724637681,0.2915662650602409,0.3856379047683799,True,0.3303867819661862,Likely Difficult to Train,False
C0459,1.0,0.3333333333333333,ring,45,0.0066843825773882,5.133915383028128e-05,0.3120260021668472,0.391304347826087,0.3927710843373494,0.1632605555850667,True,0.3262169509517197,Likely Difficult to Train,False
C0479,1.0,0.7777777777777778,ring,45,0.0075258685263039,1.024178182418469e-05,0.1992822318526543,0.7971014492753623,0.7975903614457831,0.1633040637517538,True,0.2807835937529591,Likely Difficult to Train,False
